Date,Close/Last,Volume,Open,High,Low
11/22/2023,$127.50,6649051,$127.89,$129.5103,$127.16
11/21/2023,$127.02,14641820,$126.89,$127.47,$125.75
11/20/2023,$129.51,7150860,$129.44,$130.1199,$129.02
11/17/2023,$129.47,6544058,$129.30,$129.79,$128.42
11/16/2023,$128.70,11655680,$129.09,$130.37,$128.31
11/15/2023,$128.92,7789083,$127.92,$129.73,$127.56
11/14/2023,$127.36,11255360,$127.34,$128.22,$126.08
11/13/2023,$123.85,7959191,$124.00,$124.55,$122.63
11/10/2023,$124.21,12194410,$121.90,$124.81,$120.965
11/09/2023,$120.10,9002674,$121.12,$122.43,$119.85
11/08/2023,$120.06,7681868,$121.40,$122.06,$119.15
11/07/2023,$120.72,7898388,$119.85,$121.08,$119.17
11/06/2023,$119.93,7756358,$120.00,$120.56,$118.38
11/03/2023,$119.52,10670130,$117.95,$120.10,$117.36
11/02/2023,$117.36,22106080,$117.97,$119.08,$114.45
11/01/2023,$110.89,12809870,$109.17,$111.19,$108.70
10/31/2023,$108.99,6485536,$108.30,$109.205,$106.69
10/30/2023,$107.83,6634044,$106.71,$109.33,$106.18
10/27/2023,$106.46,7291950,$106.90,$107.89,$105.835
10/26/2023,$105.62,8705199,$104.75,$106.47,$104.333
10/25/2023,$104.78,8571553,$108.81,$109.29,$104.425
10/24/2023,$109.39,8578552,$109.30,$110.3302,$108.435
10/23/2023,$108.66,6679224,$107.94,$110.57,$107.68
10/20/2023,$108.63,7756477,$111.52,$111.61,$108.63
10/19/2023,$111.28,10511470,$112.39,$114.40,$110.84
10/18/2023,$110.98,7174509,$111.06,$112.11,$110.03
10/17/2023,$112.20,7333985,$108.81,$112.27,$108.02
10/16/2023,$110.51,6254745,$109.09,$111.075,$108.95
10/13/2023,$108.66,6038859,$111.72,$111.969,$108.54
10/12/2023,$111.455,5371724,$111.98,$112.21,$110.32
10/11/2023,$111.12,6378562,$112.28,$112.64,$109.58
10/10/2023,$112.31,6252970,$111.50,$112.99,$110.4282
10/09/2023,$111.80,4714474,$110.32,$111.98,$109.48
10/06/2023,$110.88,7930565,$110.87,$111.325,$108.0464
10/05/2023,$109.80,5089675,$109.70,$110.46,$108.95
10/04/2023,$109.85,7189401,$110.80,$111.07,$108.80
10/03/2023,$110.19,7750656,$110.81,$112.26,$109.38
10/02/2023,$111.10,5751530,$110.40,$111.79,$109.60
